                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.72744,                0.84065,                 1.1691,                0.61882,                0.72034,                0.72502,                 0.4697,                  1.123,                 1.1298,                 1.5782,             0.00028072,             0.00028072,             0.00028072
                     86,                0.69978,                0.79355,                 1.1484,                0.68614,                0.71008,                0.73226,                0.49381,                 1.0676,                 1.0936,                 1.5084,             0.00026422,             0.00026422,             0.00026422
                     87,                0.68914,                0.79953,                   1.15,                0.77049,                0.66895,                0.75204,                0.49372,                 1.0587,                 1.0853,                 1.4957,             0.00024772,             0.00024772,             0.00024772
                     88,                0.69946,                0.79189,                 1.1495,                 0.7437,                0.64935,                0.74538,                0.48923,                 1.0929,                 1.0864,                  1.508,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.7017,                 0.7943,                 1.1571,                0.76504,                0.64132,                0.70835,                0.46462,                 1.1139,                 1.1431,                 1.5432,             0.00021471,             0.00021471,             0.00021471
                     90,                0.68326,                0.79015,                 1.1479,                0.71192,                0.68822,                0.73525,                0.47816,                 1.0771,                 1.0988,                 1.5126,             0.00019821,             0.00019821,             0.00019821
                     91,                0.58783,                0.60927,                 1.1136,                 0.6273,                0.71891,                0.72275,                0.46686,                 1.0641,                 1.1355,                 1.4759,              0.0001817,              0.0001817,              0.0001817
                     92,                0.58232,                0.58108,                   1.11,                 0.6633,                0.69186,                0.73637,                0.48513,                 1.0656,                 1.1078,                 1.5175,              0.0001652,              0.0001652,              0.0001652
                     93,                0.55955,                0.56072,                 1.0951,                0.71786,                0.68636,                0.74621,                0.48672,                 1.0526,                 1.1092,                 1.5068,              0.0001487,              0.0001487,              0.0001487
                     94,                0.55634,                0.54137,                 1.0865,                0.71463,                0.69136,                0.74427,                0.50033,                 1.0229,                 1.0741,                 1.4744,             0.00013219,             0.00013219,             0.00013219
                     95,                0.55831,                0.54954,                 1.0911,                0.67302,                0.70121,                0.74134,                0.49033,                 1.0352,                 1.1194,                 1.4708,             0.00011569,             0.00011569,             0.00011569
                     96,                   0.55,                0.53801,                  1.085,                0.74909,                 0.6725,                0.75101,                0.50005,                 1.0451,                 1.1047,                 1.4895,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.54155,                0.52837,                 1.0825,                0.68901,                0.70806,                0.75025,                0.50385,                 1.0463,                 1.1115,                 1.4738,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.52485,                0.51486,                 1.0583,                0.74885,                0.64896,                0.73861,                0.49447,                 1.0451,                 1.1295,                 1.4914,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.52175,                0.50704,                 1.0627,                0.74048,                0.67908,                0.74355,                 0.4999,                 1.0427,                 1.1195,                 1.4906,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.53508,                 0.5107,                 1.0731,                0.73282,                0.68256,                0.74578,                0.49612,                 1.0404,                 1.1066,                 1.4905,             3.3173e-05,             3.3173e-05,             3.3173e-05
